time,quote_volume,base_volume,close,high,low,open,symbol,tradecount
2021-05-08 00:00:00,2547645.212556,1617873.71,1.5695,1.5799,1.569,1.5795,XRP/USDT,2408
2021-05-07 23:00:00,36063420.0395,22950595.98,1.5793,1.5861,1.5513,1.5536,XRP/USDT,35968
2021-05-07 22:00:00,64569247.569742,41612251.43,1.5536,1.5809,1.5323,1.5695,XRP/USDT,65377
2021-05-07 21:00:00,55868025.171597,35450028.15,1.5695,1.602,1.56,1.6011,XRP/USDT,46474
2021-05-07 20:00:00,25746362.190905,16105371.99,1.601,1.6099,1.5855,1.5919,XRP/USDT,28495
2021-05-07 19:00:00,40300282.262062,25297088.15,1.592,1.6183,1.577,1.6128,XRP/USDT,41219
2021-05-07 18:00:00,35626082.094574,22283743.33,1.613,1.6152,1.585,1.61,XRP/USDT,41062
2021-05-07 17:00:00,32862407.356511,20384279.12,1.61,1.621,1.6037,1.607,XRP/USDT,34205
2021-05-07 16:00:00,80038730.739184,50084802.47,1.6071,1.627,1.57,1.6237,XRP/USDT,77983
2021-05-07 15:00:00,52232875.90316,32167586.78,1.6231,1.6362,1.6101,1.623,XRP/USDT,40294
2021-05-07 14:00:00,53125252.307767,32738628.75,1.6229,1.6375,1.6076,1.6317,XRP/USDT,46347
2021-05-07 13:00:00,79866400.793718,48686905.3,1.6317,1.6611,1.6233,1.6549,XRP/USDT,69751
2021-05-07 12:00:00,184909421.418268,111854803.47,1.655,1.695,1.58,1.5848,XRP/USDT,170368
2021-05-07 11:00:00,40506697.715297,25542104.33,1.5847,1.5991,1.5706,1.5778,XRP/USDT,36608
2021-05-07 10:00:00,32098101.6629,20206634.91,1.5777,1.6031,1.5768,1.5878,XRP/USDT,32900
2021-05-07 09:00:00,36121501.393888,22774045.02,1.5879,1.5971,1.5747,1.5749,XRP/USDT,35174
2021-05-07 08:00:00,42461940.753108,26975528.69,1.5748,1.588,1.5619,1.5748,XRP/USDT,39454
2021-05-07 07:00:00,51070902.486957,32191104.78,1.5749,1.6067,1.5709,1.5899,XRP/USDT,47680
2021-05-07 06:00:00,47002701.889891,29636061.24,1.5898,1.599,1.5599,1.5676,XRP/USDT,44074
2021-05-07 05:00:00,52745167.907158,33616710.75,1.5675,1.5823,1.5524,1.5581,XRP/USDT,43060
2021-05-07 04:00:00,78069234.282372,50859686.41,1.5581,1.5633,1.505,1.5501,XRP/USDT,65196
2021-05-07 03:00:00,69823668.871766,44955980.58,1.5501,1.572,1.5327,1.5484,XRP/USDT,54248
2021-05-07 02:00:00,87942922.617944,56726241.03,1.5483,1.5884,1.52,1.5799,XRP/USDT,80554
2021-05-07 01:00:00,64133249.050527,40607799.8,1.5799,1.594,1.5558,1.5813,XRP/USDT,57951
2021-05-07 00:00:00,81412028.401897,50989911.21,1.5813,1.6241,1.568,1.6028,XRP/USDT,76144
